cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
															FBXO44						LOC102467081							FAM219B	MIR541		REEP2	DEPDC7	KCNQ1OT1				LOC101448202				STK19				SLC19A3		ZNF148		LINC00900	OR51E2		ZNF658	
															ATPIF1						LOC102467147							ATP10A	MIR665		PRR16	GLYATL1	CCDC85B				NALT1				IER3				ILKAP		BRPF1		BCL9L	OR4P4		SPATA31A7	
															CROCCP3						LOC102467655							CEMIP	MIR543		COMMD10	CDCA5	PLA2G16				LOC101928525				VNN2				ITM2C		IFRD2		FOXR1	OR4C15		FBXW2	
															FHAD1						LOC102477328							GJD2	MIR889		POLK	RPLP0P2	PKP3				HSPC324				VNN1				WDR75		MAPKAPK3		CCDC153	OR4A5		SPAG8	
															RAB42						LOC102503427							STARD9	ZBTB42		LARS	SLC22A9	HPS5				LOC101928786				WASF1				RHBDD1		SEMA3B		OR8D1	OR4A16		OR1J4	
															FAM46B						LINC01335							ISLR2	LOC100129345		CXXC5	C1QTNF4	PTGDR2				LOC101928932				RNF8				C2orf88		SLMAP		OR8D2	OR4A15		OR2K2	
															RBP7						RASGRF2-AS1							VPS18	LINC00605		RAPGEF6	PTPMT1	RRAS2				LOC101929331				TAAR5				ING5		MANF		OR8B4	PTDSS2		FBXO10	
															KDF1						LINC01338							IGDCC4	MIR1247		ERAP1	BATF2	ZP1				PRRX2-AS1				MAP7				PLCD4		RAB7A		KIRREL3-AS3	MOB2		GBGT1	
															LRRC38						LOC102546226							SQRDL	MIR1185-1		KDM3B	SLC22A12	SWAP70				MIR6722				TBX18				MGC16025		KCNAB1		C11orf44	SBF2		LHX6	
															AADACL3						LINC01340							ABHD17C	MIR1185-2		PHAX	HRASLS5	ATG2A				MIR6856				LATS1				ANKRD44		FXR1		MIR4697HG	KIF18A		OSTF1	
															IFFO2						LOC102724392							MESDC1	MIR1197		RBM27	C11orf74	GANAB				MIR6877				WDR46				ZNF804A		COLQ		LOC283177	FAM160A2		OR1L3	
															MYOM3						CTD-2151A2.1							PPCDC	MIR1193		EPB41L4A-AS2	OR4C46	DTX4				MIR7114				ZBTB22				TMEM169		ACOX2		CCDC84	FAR1		OR1L1	
															KLHDC7A						LINC01337							CELF6	MIR4309		SGTB	OR4X2	DENND5A				MIR6855				TAAR2				DNER		BAP1		TMEM225	BTBD10		OR1J2	
															VWA5B1						LINC01331							STRA6	MIR3173		PCDHB18P	OR4B1	NUP160				LOC102723566				TAAR3				MARS2		EOMES		OR8D4	ARFGAP2		SNORA65	
															UBXN10						LINC01336							ZNF106	LOC100506700		PCDHB17P	LARGE2	FNBP4				LOC105376306				HMGN3				B3GNT7		HYAL3		C11orf53	ACCS		SNORD62A	
															ARHGEF19						LINC01033							IQCH	TUNAR		ZCCHC10	DNAJC24	RRP8				LOC105376331				PPT2				SP140L		SOX14		LOC341056	TRIM51		SNORD36C	
															C1orf127						LINC01386							ISL2	MEG9		GIN1	ARL14EP	SIRT3				SNORD141A				NCR2				LOC93463		BFSP2		HEPHL1	PTPN5		SNORD36B	
															ZNF436-AS1						LOC105379030							RFX7	LOC100507277		WDR55	OR8I2	OR52A1								MED23				ORMDL1		CAMK1		PLET1	MICALCL		SNORD36A	
															DCDC2B						LOC105379054							SPATA5L1	LOC100507437		ANKHD1	LDLRAD3	FAM89B								FHL5				STK11IP		CGGBP1		VSTM5	TRIM5		SNORD24	
															LINC01225						LINC01455							CHAC1	MIR4507		THG1L	C11orf94	SNHG1								AKAP7				DIRC1		BHLHE40		LOC387810	SNORD14B		TRUB2	
															PDIK1L													NOX5	MIR4506		AGGF1	C11orf84	ARFIP2								ATG5				MOGAT1		RUVBL1		TRIM77	TNKS1BP1		DNAI1	
															C1orf64													EFL1	MIR203B		WDR41	GPHA2	POLA2								MED20				AGAP1		CADPS		IZUMO1R	NAV2		ST6GALNAC4	
															SLC2A7													NEIL1	MIR151B		LOC55338	IMMP1L	FLRT1								SLC25A27				TWIST2		TP63		KDM4E	SYT8		INVS	
															IFNLR1													ICE2	MIR4538		TMCO6	OR8U1	MTCH2								TBPL1				PARD3B		CHRD		BSX	TSPAN18		SIT1	
															FAM43B													AAGAB	MIR4710		TRIM36	OR4C16	FJX1								BAG2				NUP35		HYAL2		OR6X1	CREB3L1		SPINK4	
															PAQR7													LMAN1L	MIR4539		GALNT10	OR4C11	KIAA1549L								POLR1C				TYW5		B4GALT4		OR6M1	CCDC34		TOR1B	
															FAM76A													KATNBL1	MIR4537		RBM22	OR4S2	PRDX5								MAD2L1BP				DIS3L2		B3GALNT1		OR10G4	SLC39A13		TOR2A	
															TMEM201													SLTM	MIR2392		RIOK2	OR4C6	ABTB2								AKAP12				NEU4		SNX4		OR10G7	DEPDC7		NTMT1	
															TXLNA													PEAK1	DIO2-AS1		BDP1	OR5D14	TEX40								MDC1				ICA1L		TNFSF10		OR8B3	PRKCDBP		PKN3	
															TMEM51-AS1													SNX22	MIR5195		ERBIN	OR5L1	PAMR1								TRAM2				RFTN2		SUCLG2		OR8A1	SAAL1		PSAT1	
															AKR7L													THSD4	LINC00911		PCDHGC5	OR5D18	ZDHHC5								KIAA0408				AP1S3		HESX1		TRIM49D1	ODF3		UBQLN1	
															TMCO4													ATP8B4	LOC101928504		PCDHGC4	OR7E5P	ATL3								PHACTR2				SGPP2		GMPS		C11orf87	OSBPL5		SLC2A8	
															ZNF683													WDR76	LINC01467		PCDHGB7	OR5AS1	TKFC								ZSCAN12				KCTD18		KAT2B		COLCA1	C1QTNF4		OBP2B	
															MDS2													TMEM62	LOC101928767		PCDHGB6	OR8K5	DKFZP434K028								BCLAF1				ALS2CR12		NR1I2		C11orf88	PTPMT1		ST6GALNAC6	
															C1orf167													SEMA6D	LOC101928791		PCDHGB5	OR5T2	B3GAT3								CUL7				SPATA3		EIF2B5		MIR100HG	LRRC56		STOML2	
															LINC01226													ANP32A-IT1	LOC101928909		PCDHGB3	OR8H1	FBXO3								ZBTB24				TMEM198		BSN		PATE2	MRGPRE		DEC1	
															LOC284632													HEXA-AS1	LOC101929002		PCDHGB2	OR8K3	SERGEF								SNAP91				ZFAND2B		MBD4		PATE4	ART5		PCA3	
															SLC25A34													PIF1	LOC101929080		PCDHGB1	OR8J1	EHF								FIG4				CPO		H1FX		ST3GAL4-AS1	MRGPRX2		EXOSC3	
															ESPNP													CCDC33	LOC101929241		PCDHGA11	OR5R1	OR5L2								CASP8AP2				MDH1B		USP13		SNX19	MRGPRX3		ABHD17B	
															MTMR9LP													EDC3	SNHG24		PCDHGA10	OR5M3	OR5E1P								UST				FBXO36		LIMD1		LOC403312	MRGPRX4		COQ4	
															ZBTB8OS													GOLGA2P10	LOC101929634		PCDHGA9	OR5M8	PPP1R14B								TRIM10				MTERF4		KALRN		MIRLET7A2	TRIM6		LOC51145	
															LINC01141													SPG11	MIR6765		PCDHGA7	OR5M11	OR10A3								FLOT1				UBE2F		CCRL2		MIR100	OR52E2		CERCAM	
															AADACL4													ELL3	MIR7641-2		PCDHGA6	OR5AR1	TIMM10B								RCAN2				DUSP19		UBA3		MIR125B1	OR52J3		CDKN2A-AS1	
															PRAMEF5													PLEKHO2	MIR8071-1		PCDHGA5	OR5AK4P	TIMM10								HCG9				SATB2-AS1		RPL14		MIR34B	OR51L1		UBAP1	
															HNRNPCL1													WDR61	MIR6764		PCDHGA4	LRRC55	BSCL2								CRISP3				OTOS		CLDN1		MIR34C	OR51A7		GOLM1	
															PRAMEF10													CD276	LOC102723354		PCDHGA3	SMTNL1	ELP4								TRDN				COPS9		SEC22C		DDI1	OR51S1		PRRX2	
															SERINC2													STARD5	LOC105370605		PCDHGA2	YPEL4	SNORD14A								CITED2				OR6B3		RRP9		BLID	OR51F2		SPOUT1	
															FAM131C													POLR2M	LOC105370619		PCDHGA1	MED19	DKK3								PFDN6				ANKAR		MAP3K13		CASP1P2	OR52R1		CHMP5	
															PADI6													VWA9	LOC105370622		PCDHGB8P	OR6Q1	RBMXL2								SYNCRIP				FAM117B		SLC33A1		CARD17	C11orf74		TRMO	
															DRAXIN													NIPA2	LINC00677		PCDHB15	OR9I1	PGAP2								UBD				LOC150935		LRRFIP2		LINC00167	OR4C46		RAB14	
															SPATA21													LINC00597	LOC105370697		PCDHB14	OR9Q1	PRPF19								AGPAT1				PKI55		MAGI1		SCARNA9	OR4X2		TMEM8B	
															CENPS													ADPGK	LOC105378183		PCDHB13	OR9Q2	MACROD1								SLC35A1				KANSL1L		CACNA2D2		HEPN1	OR4B1		C9orf78	
															CATSPER4													APH1B	LOC107984640		PCDHB12	OR1S2	SLC43A3								DNPH1				ZSWIM2		COPB2		TRIM64B	OR52M1		SHC3	
															TMEM82													TLN2			PCDHB11	OR1S1	COMMD9								C6orf10				LINC01107		ADIPOQ		TRIM53AP	OR52K2		POLE3	
															TRNP1													FAM96A			PCDHB10	OR10Q1	C11orf21								FUT9				LOC151174		SLC22A14		TRIM49C	OR5P2		NANS	
															CD164L2													MEX3B			PCDHB9	OR5B17	PACSIN3								CNPY3				ERFE		SLC22A13		UBTFL1	OR5P3		MRPL50	
															PRAMEF12													C15orf48			PCDHB8	OR5B21	TRPM5								TRAF3IP2				METTL21A		CHST2		C11orf97	LARGE2		RC3H2	
															PRAMEF8													MEGF11			PCDHB7	GLYATL2	SAC3D1								HBS1L				CCNYL1		SH3BP5		LOC643733	CYP2R1		EPB41L4B	
															PRAMEF18													C15orf41			PCDHB6	MPEG1	SNX15								FRS3				PPP1R1C		SLC4A7		LOC643923	DBX1		EQTN	
															PRAMEF17													SPPL2A			PCDHB4	OR5A2	EFEMP2								SLC22A7				SGO2		STXBP5L		CLDN25	DNAJC24		TBC1D13	
															PLA2G2C													LINGO1			PCDHB3	OR5A1	UBQLN3								HCP5				ALS2CR11		RNF7		LOC646522	ARL14EP		NUTM2F	
															TMEM200B													ZFYVE19			PCDHB2	OR4D6	KCNK4								EHMT2				CCDC140		GUCA1C		LOC649133	OR8I2		DIRAS2	
															PRAMEF4													CGNL1			PCDHAC2	OR4D11	RNF141								SMPDL3A				SLC23A3		IQCB1		RPL23AP64	OR2D3		ASPN	
															PRAMEF13													FRMD5			PCDHAC1	PATL1	UBXN1								APOBEC2				LINC00608		DZIP3		SNORA8	OR2D2		BSPRY	
															SH2D5													UBL7			PCDHA13	OOSP2	APIP								PNRC1				GPBAR1		VGLL4		SNORA1	OR52W1		APTX	
															NCMAP													DISP2			PCDHA12	MS4A15	TMX2								ASCC3				SLC16A14		EDEM1		SNORA18	OR56A4		TEX10	
															LDLRAD2													CHRFAM7A			PCDHA11	VWCE	HSD17B12								RAB32				LOC151475		RUBCN		SNORA40	OR56A1		PLPPR1	
															MIR34A													ULK4P3			PCDHA10	CYB561A3	IGF2-AS								TRIM31				LINC00471		ECE2		SNORA25	SYT9		UBE2R2	
															PRAMEF11													ULK4P1			PCDHA8	PPP1R32	TMEM216								KATNA1				LOC151484		DCAF1		SNORA32	LDLRAD3		FAM206A	
															PRAMEF6													ARHGAP11B			PCDHA7	TIGD3	BET1L								CAPN11				MSL3P1		TBC1D5		SNORD5	OR52B4		NMRK1	
															HNRNPCL2													DPH6			PCDHA6	LRRN4CL	CEND1								BVES				DAW1		TATDN2		SNORD6	C11orf40		STX17	
															UQCRHL													C15orf57			PCDHA5	HNRNPUL2	SLC15A3								NUDT3				C2orf57		IP6K1		TRIM49D2	OR52I2		NOL8	
															MINOS1													KNSTRN			PCDHA4	ALKBH3	PHF21A								SEC63				FAM171B		TSC22D2		LOC100128239	OR51E1		C9orf40	
															PRAMEF7													BMF			PCDHA3	LOC221122	MS4A4A								NRM				PIKFYVE		EPM2AIP1		LOC100128386	UBQLNL		TMEM38B	
															PRAMEF25													SHF			PCDHA2	MS4A6E	WT1-AS								STK38				LOC200726		PSMD6		LOC100129203	MUC15		SMU1	
															PEF1													DUOXA1			PCDHA1	SSSCA1-AS1	TRMT112								CEP162				TIGD1		TOMM70		LOC100131626	LOC143666		RFK	
															RPS14P3													SNORD107			VTRNA1-3	EHBP1L1	TMEM138								ICK				LOC200772		TRANK1		LOC100132078	C11orf94		NIPSNAP3B	
															ACTG1P20													LOC91450			VTRNA1-2	SNX32	CYB5R2								ENPP4				C2orf69		SRGAP3		LOC100132686	PLEKHA7		STRBP	
															PIK3CD-AS1													CALML4			VTRNA1-1	OOSP1	TRIM34								ANKRD6				CFAP65		IQSEC1		PATE3	SPTY2D1		TBC1D2	
															PRAMEF26													LDHAL6B			NMUR2	OR4C3	CDHR5								RIMS1				C2orf72		P2RY14		WTAPP1	TMEM86A		HEMGN	
															PRAMEF33P													UBE2Q2			FEM1C	OR4S1	TOLLIP								DOPEY1				CCDC150		DLEC1		NCAM1-AS1	OR10A5		KIF27	
															PRAMEF19													CHST14			C5orf15	EML3	ZDHHC13								ZNF292				RTP5		EXOG		MIR1261	OR2AG1		CDK5RAP2	
															PRAMEF20													CASC4			CDC42SE2	C11orf31	WDR74								CMTR1				LOC285095		XYLB		MIR1304	DNHD1		UBAP2	
															LACTBL1													LACTB			TRPC7	OR10AG1	TRIM44								CDK19				FAM126B		OXSR1		MIR548L	SCGB1C1		BARX1	
															LOC646471													TUBGCP5			NLN	OR5J2	MS4A12								CUL9				UNC80		NR1D2		BACE1-AS	SLC5A12		RNF20	
															PRAMEF34P													DIS3L			ZNF608	OR4C13	MRPL16								TAB2				RUFY4		PDCD6IP		MIR4301	LDHAL6A		LRRC8A	
															HNRNPCL3													TGM7			KCTD16	OR4C12	SDHAF2								MDN1				DUSP28		PARP3		MIR3167	C11orf42		OR2S2	
															ZBTB8A													CATSPER2			SEMA6A	TRIM49B	TMEM132A								TSPYL4				MROH2A		SMC4		MIR1260B	NLRP6		BARHL1	
															PRAMEF22													LEO1			ARRDC3	MAJIN	HRASLS2								ANKS1A				ESPNL		ABCC5		USP2-AS1	LOC171391		IFNK	
															PRAMEF15													SENP8			PCDHB16	SLC25A45	USP47								UBR2				ECEL1P2		COX17		MIR3920	METTL15		SH3GLB2	
															SCARNA1													MTFMT			ANKRA2	NEAT1	VPS37C								SASH1				FTCDNL1		ARPC4		MIR3656	IMMP1L		GSN-AS1	
															SNORA44													SLC51B			HMHB1	OR9G4	TRIM68								SYNE1				SPATA3-AS1		ZNF197		CASP12	OR56B4		REXO4	
															SNORA61													HIGD2B			ZBED8	LOC283194	NAT10								UFL1				CERKL		RBM6		LOC100507283	ANO5		DOLPP1	
															SNORA59A													TMEM266			MCCC2	LINC00301	UEVLD								PHF3				CATIP		RBM5		SENCR	OR8U1		KIAA1161	
															SNORA16A													NIPA1			EPB41L4A	CCDC88B	LIN7C								HEY2				RBM44		TNK2		LOC100507431	OR4C16		LOC100499484-C9ORF174	
															SNORD103C													HYKK			CENPK	TTC9C	SLC35C1								DAAM2				AQP12A		ALG3		LOC100507548	OR4C11		ZBTB26	
															SNORD99													PLA2G4E			ERAP2	SLC22A24	TCP11L1								GLTSCR1L				KLHL30		NME6		TMPRSS4-AS1	OR4S2		GBA2	
															SNORD103A													TRIM69			ARHGEF28	RCOR2	LGR4								DDAH2				PLEKHM3		CTDSPL		HSPB2-C11orf52	OR4C6		DENND1A	
															C1orf195													PWAR1			SIL1	HARBI1	PIDD1								HEBP2				C2orf80		CD96		FXYD6-FXYD2	OR5D14		GPR107	
															ZBTB8B													TERB2			ARAP3	LINC00294	KCNQ1DN								ORC3				RESP18		KCNMB2		MIR4697	OR5L1		SLC46A2	
															C1orf234													LOC145694			FBXL17	OR5F1	SOX6								CD2AP				C2orf82		STAG1		MIR4490	OR5D18		LINC00474	
															PRAMEF14													C2CD4A			YTHDC2	OR5AP2	CDC42BPG								BRD7P3				OR6B2		EIF1B		MIR4493	OR7E5P		INIP	
															FAM231A													FAM81A			SLC30A5	CSTF3-AS1	OTUB1								MTCH1				DYTN		TRAIP		MIR4491	OR5AS1		ZNF462	
															FAM231C													GCOM1			CENPH	DCDC1	AMBRA1								ZNF318				FSIP2		TFG		MIR4492	OR8K5		PRDM12	
															FLJ37453													LOC145783			GRAMD3	MS4A10	KBTBD4								SPDEF				C2orf66		ST3GAL6		MIR4693	OR5T2		NAA35	
															FAM229A													C15orf65			PCYOX1L	RTN4RL2	PARVA								MTO1				ASB18		ARIH2		LOC100652768	OR8H1		DMRTA1	
															MATN1-AS1													DRAIC			CCNJL	DKFZp779M0652	TTC17								ASF1A				FLJ43879		TADA3		JRKL-AS1	OR8K3		SLC28A3	
															LOC100132147													LOC145845			SH3TC2	FAM111B	SLC22A11								YIPF3				VWC2L		CRTAP		KIRREL3-AS2	OR8J1		SUSD1	
															FAM231B													C15orf61			SAP30L	TMEM179B	MMP26								USP49				MIR149		ATG7		NTM-IT	OR5R1		POLR1E	
															MIR1256													TMCO5A			TXNDC15	MALAT1	AKIP1								CCDC28A				MIR153-1		ARL6IP5		LOC101054525	OR5M3		IPPK	
															MIR1976													NRG4			MCTP1	ZFP91-CNTF	C11orf16								MTHFD1L				MIR26B		NPRL2		LOC101928424	OR5M8		DDX31	
															MIR1290													ZSCAN29			PTCD2	SLC22A25	TMEM9B								PNISR				DNAJB3		IGF2BP2		LOC101928535	OR5M11		FAM129B	
															NPPA-AS1													TTBK2			TRAPPC13	C11orf96	NRIP3								IBTK				LOC440934		CXCR6		LOC101928823	OR5AR1		LRRC19	
															MIR3115													CDAN1			NDFIP1	SLC22A10	ASCL3								MOXD1				MIR375		CSPG5		LOC101928847	OR5AK4P		NOL6	
															MIR4253													STRC			FBXO38	SPDYC	GPR137								ZNF451				SNORA41		CLDN16		LOC101928940	LRRC55		WNK2	
															MIR1273D													CFAP161			YIPF5	ACCSL	PRDM11								SENP6				LOC643387		POLQ		LOC101928985	ALKBH3		SECISBP2	
															MIR4254													TBC1D21			TIGD6	OR4X1	CHRNA10								OR2B6				LINC00607		CHL1		LOC101929011	LOC221122		C9orf16	
															MIR3917													DYX1C1			SPRY4	OR5D13	SLC17A6								FBXL4				LOC646736		ARPP21		LOC101929089	TOLLIP-AS1		MAPKAP1	
															MIR3675													CSNK1A1P1			NUDT12	OR5D16	PNPLA2								FBXO9				PRSS56		CCR9		LOC101929208	OR52B2		DCAF10	
															LOC100505887													OTUD7A			SLC4A9	OR5W2	SCYL1								FBXO5				AQP12B		ALDH1L1		DISC1FP1	OR4C3		ZCCHC6	
															ENO1-AS1													SPRED1			ATG10	OR8H2	SYT13								SLC17A5				SNORA75		USP19		LOC101929227	OR4S1		GALNT12	
															LOC100506022													ODF3L1			SLC25A2	OR8H3	PHRF1								OR12D2				LOC654841		PDIA5		LOC101929295	LMNTD2		MOB3B	
															LOC100506730													PGBD4			SPATA9	OR5T3	LRRC4C								OR11A1				SCARNA6		SLC38A3		LOC101929340	OR51F1		CAAP1	
															LOC100506801													ADAL			TSSK1B	OR5T1	SCUBE2								RGS17				SCARNA5		CYB561D2		LOC101929427	SVIP		CNTNAP3	
															TCEB3-AS1													EXD1			FAM172A	OR8K1	MS4A7								OR2W1				SNORD11		TMEM115		LOC101929473	MRGPRX1		SVEP1	
															LOC100506985													FSIP1			PCDHB19P	OR5M9	ZBED5								OR2J2				SNORD70		TOPBP1		LOC101929497	OR51B5		RMI1	
															APITD1-CORT													RHOV			ADGRV1	OR5M10	SIGIRR								OR2H1				MIR561		RPP14		LOC101929517	OR10AG1		TRPM3	
															MINOS1-NBL1													SCAMP5			PCBD2	OR5M1	ALX4								SNORD52				MIR562		HHLA2		LOC101929538	OR5J2		PTGES2	
															MIR4695													FAM227B			UTP15	OR9G1	RIC8A								SNORD50A				D2HGDH		FSTL1		LINC01395	OR4C13		IFT74	
															MIR4420													CT62			ZCCHC9	OR5AK2	MRPL17								SNORD48				LOC728323		FAM107A		NTM-AS1	OR4C12		FAM214B	
															MIR4419A													GRAMD2			PSD2	OR5B2	FAM111A								PDE7B				LOC729224		WDR6		LOC101929653	KRT8P41		GKAP1	
															MIR3972													MGC15885			SLF1	OR5B12	ANO3								FILIP1				DIRC3		RASSF1		MIR6756	SBF2-AS1		AKNA	
															MIR4425													LCTL			ZBED3	OR5AN1	MS4A6A								BRPF3				SNORD11B		NISCH		MIR7641-1	CSNK2A3		MIR600HG	
															MIR4684													UBR1			GFM2	OR4D10	MS4A5								GNMT				LOC100129175		MRPL3		MIR7641-2	OR51V1		URM1	
															MIR5096													PATL2			CYSTM1	OR4D9	EPS8L2								TNFRSF21				PP14571		PDCD10		MIR6090	TRIM49B		ISCA1	
															MIR4418													SPESP1			MEGF10	OR10V1	TUT1								SESN1				LOC100130451		FILIP1L		MIR6716	H19		ARPC5L	
															MIR4632													LINGO1-AS1			SPINK7	LRRC10B	STK33								TINAG				LOC100130452		TREX1		MIR8052	OR9G4		HDHD3	
															MIR378F													LPCAT4			SPZ1	HNRNPKP3	C11orf95								OSTM1				NEMP2		SCN11A		LOC102723838	CRACR2B		AIF1L	
															RCAN3AS													GOLGA2P11			HAVCR2	LOC399886	CHID1								MRPS18B				LOC100286922		TUSC2		LOC102723895	TMEM80		UCK1	
															MIR5585													PLA2G4F			SMIM3	FAM180B	AHNAK								TMEM14A				MIR1471		RNF13		LOC102724301	HARBI1		ZNF484	
															MIR5697													LRRC57			TSLP	PCNX3	PRRG4								NDUFAF4				MIR1302-4		MGLL		LOC103611081	LINC00294		FSD1L	
															PINK1-AS													LYSMD2			FCHSD1	OR4A47	TMEM223								C6orf15				MIR1245A		TWF2		PKNOX2-AS1	IGSF22		CEP78	
															MTOR-AS1													NUTM1			C5orf30	OR4C45	TMEM109								DSE				MIR1244-1		MRAS		APOA1-AS	OR10A4		ZCCHC7	
															LINC01355													WDR72			LYRM7	SCGB1D4	CCDC86								PRICKLE4				MIR548F2		COPG1		LOC105369431	OLFML1		ANKRD20A1	
															HNRNPCL4													SNX33			SLC25A46	MIR129-2	LBHD1								PACSIN1				GCSHP3		SLITRK3		LOC105369438	LOC283299		GARNL3	
															LOC101927876													HMGN2P46			CDKN2AIPNL	MIR130A	C11orf49								ZNRD1				BOK-AS1		NLGN1		LOC105369443	MRGPRG-AS1		HSDL2	
															LOC101927895													SLC24A5			TIMD4	MIR192	TRIM48								DEF6				MIR1244-3		TRAK1		LOC105369473	NLRP10		C9orf64	
															UBXN10-AS1													PRTG			ZNF300	MIR194-2	OR51G1								C6orf48				MIR1244-2		DHX30		LOC105369486	NLRP14		CARD19	
															LOC101928043													LINC00926			MYOZ3	DKFZp686K1684	OR51B4								HDDC2				MIR3129		SACM1L		LOC105369507	ANO9		MFSD14C	
															LOC101928163													EWSAT1			MRPS36	LOC440040	OR51B2								MRPL2				MIR3133		NCBP2		LOC105369509	LUZP2		TMEM246	
															LOC101928303													REC114			ATP6AP1L	TRIM51HP	OR52N1								CYB5R4				MIR3131		SCAP		LOC105369532	KRTAP5-AS1		NTNG2	
															LOC101928324													LOC283683			PRDM6	SLC22A20	RIC3								TUBE1				MIR4268		LAMB2P1		STT3A-AS1	KCNQ1-AS1		MFSD14B	
															LOC101928460													GOLGA6L2			FTMT	LOC441601	E2F8								C6orf203				MIR3130-1		MYH15			OR5F1		HINT2	
															LOC101928728													ST20-AS1			FNIP1	OR5B3	SLC25A22								CYP39A1				MIR3130-2		PLCH1			OR5AP2		C9orf24	
															PIK3CD-AS2													LINC00927			SLC35A4	CCDC73	ZNF408								CDC40				MIR2355		EXOSC7			B4GALNT4		PIGO	
															LOC101929181													OR4N4			PWWP2A	MS4A13	NAA40								RWDD1				MIR3132		TMCC1			CSTF3-AS1		PRRC2B	
															LOC101929406													LOC283710			C1QTNF2	OR8U8	QSER1								AIG1				MIR4269		PDZRN3			OR52L1		PLPP7	
															PRAMEF27													SAXO2			EPB41L4A-AS1	BTBD18	AGBL2								UBE2J1				MIR3606		TNIK			OR2AG2		ZDHHC12	
															RNU6-7													LOC283731			MARCH3	PGA3	ZBTB3								ETV7				AGAP1-IT1		CAND2			OR52B6		MIGA2	
															RNU6-8													FAM98B			FCHO2	PGA4	CPSF7								VTA1				LOC100507140		MCF2L2			OTOG		ARHGEF39	
															MIR6084													PLA2G4D			LYSMD3	TRIM64C	PRR5L								LGSN				LOC100507443		CLASP2			DCDC1		C9orf3	
															MIR6728													HERC2P3			LEAP2	LOC646813	ASRGL1								CUTA				IDH1-AS1		PLXND1			OR10A2		FIBCD1	
															MIR6731													GOLGA6L1			SCGB3A2	SNORD67	PGGHG								PPIL1				HSPE1-MOB4		RAD54L2			OVCH2		COL27A1	
															MIR7846													GOLGA8G			SLCO6A1	SNORA57	MUS81								HECA				UBE2F-SCLY		FRMD4B			PDDC1		ALG2	
															MIR6127													GOLGA8IP			PPARGC1B	MIR611	INTS5								RAB23				MIR4439		STAB1			GALNT18		FGD3	
															MIR6730													FBXL22			PRRC1	MIR612	ZFP91								COQ3				MIR4437		GPD1L			NCR3LG1		MVB12B	
															MIR6729													SNORD108			JMY	MS4A18	OR8J3								CLIC5				MIR4776-1		RFTN1			DKFZp779M0652		WDR34	
															LOC102724539													SNORD109A			ZNF474	SEC14L1P1	OR51G2								IL20RA				MIR548AE1		ATP11B			MRGPRG		LRSAM1	
															LOC102724552													SNORD115-1			POU5F2	METTL12	OR51E2								TREM2				MIR4777		NBEAL2			KRTAP5-1		MSANTD3	
															LOC102724571													TMEM202			AFAP1L1	UQCC3	OR4P4								TREM1				MIR1245B		NUP210			KRTAP5-3		SLC25A51	
															LOC102724659													WHAMMP3			GRPEL2	TMEM262	OR4C15								HCG4				MIR2467		PLCL2			KRTAP5-4		MRRF	
															RNU6-2													GLDN			TMEM171	C11orf91	OR4A5								HMGCLL1				MIR4775		ANKRD28			IFITM5		RBM18	
															LOC105376736													GOLGA6A			TMEM174	MIR1908	OR4A16								MTRF1L				MIR4438		FAM208A			FAM99A		LINC00950	
															LOC105376805													TMC3			LSM11	MIR1237	OR4A15								CCHCR1				MIR4440		KLHL18			OR56B1		KIF12	
															LOC105378614													FMN1			POC5	MIR670	OR10W1								GTPBP2				MIR4786		DNAJC13			GVINP1		PALM2	
															MIR34AHG													SNORD64			GPR151	MIR3160-2	OR10V2P								AHI1				MIR4441		U2SURP			INSC		SLC25A25	
															SNORD128													PWAR4			STARD4	MIR3160-1	PTDSS2								UHRF1BP1				KIAA2012		VPS8			FIBIN		WDR31	
																												PWARSN			WDR36	MIR3162	MOB2								RMND1				MIR5001		LARS2			C11orf96		ZNF618	
																												RBPMS2			ZNF300P1	MIR3161	SBF2								PHIP				MIR5702		RYBP			OR52K1		FAM122A	
																												ANKDD1A			NUDCD2	MIR3654	KIF18A								SOBP				MIR5703		LINC01565			OR52I1		GRIN3A	
																												LINC01193			UBLCP1	DCDC5	C11orf68								AKIRIN2				VWC2L-IT1		CAPN7			OR51D1		TMC1	
																												MRPL42P5			ACOT12	LOC100506675	MS4A8								CENPQ				LOC100996693		ACAP2			OR52A5		RNF183	
																												USP50			SOWAHA	LOC100507144	FERMT3								MRPS18A				OSGEPL1-AS1		MKRN2			OR51B6		CARNMT1	
																												TEX9			SHROOM1	LOC100507205	TRPT1								MRPS10				GPR1-AS		NAT6			OR51M1		C9orf57	
																												IGHV1OR15-1			C5orf24	MIR670HG	FRMD8								LRRC1				CAPN10-AS1		FBXL2			OR51Q1		C9orf85	
